step,sec,loss,val_loss,ref_loss,loss_before,gap_closed,param_err_mean,err/joint,err/actuator,err/contact,err/inertial,err/comfree
5008,2.4277031660312787,0.7859628796577454,0.9496200084686279,9.859743386186892e-07,1.702460765838623,44.22076610996411,0.09739439599178626,0.08666853903508183,0.1041128802450808,0.14477013738144834,0.08679099895019453,0.1939361222004715
10016,2.4404408520204015,0.9639655351638794,1.3584585189819336,0.000192716543097049,1.3366410732269287,-1.6324944877886003,0.09702350000569634,0.08584924007431054,0.09837982372988682,0.14595988289571604,0.08989735347265766,0.20988154294624148
15024,2.406492088048253,1.5263800621032715,0.3562161326408386,1.6704168501746608e-06,0.39601683616638184,10.050297808724837,0.09789129749643774,0.08618444210641775,0.10098046219055465,0.14526409124743056,0.09367679547115941,0.21333789602780986
20032,2.4182080579921603,1.032820224761963,0.2662206292152405,2.626270998007385e-06,0.2992447018623352,11.035905489505549,0.09660031359827936,0.08530641651189134,0.09764696278694082,0.141239413206968,0.09633876823714234,0.208015034369948
25040,2.4272230609785765,0.7603065967559814,0.7968587875366211,9.537195637676632e-07,0.7833907604217529,-1.7191986670804518,0.09797983949775992,0.08521314637646342,0.10249430209606482,0.14141867231969055,0.10010140566179787,0.22792201064678552
30048,2.4127637069905177,0.47780779004096985,0.6783555746078491,3.640327349785366e-06,0.7950514554977417,14.677844358943709,0.09313431329259281,0.081253461878402,0.09026148766865609,0.14088113975361963,0.08586892735012379,0.24444831494273223
35056,2.420767344010528,0.18428951501846313,0.2650642991065979,9.53704557105084e-07,0.28316184878349304,6.391260230989926,0.09562247440367982,0.08387369815451227,0.08729687711512614,0.15496164363392437,0.08274292244509822,0.24184705710780474
40064,2.431793161027599,0.43767398595809937,0.21651220321655273,9.536947800370399e-07,0.2735470235347748,20.850169900661857,0.09319599335746968,0.0817389358104498,0.08061662380028067,0.15740573505499197,0.08332350116016887,0.22336623336527806
45072,2.431859336036723,0.22729262709617615,0.5221021771430969,9.537035339235445e-07,0.5838680267333984,10.578751987122628,0.09196772242013648,0.07935788293673059,0.0801630748971281,0.16376965181418843,0.08111310657826339,0.2230795547603487
50080,2.4295572219998576,0.37594547867774963,0.5721895098686218,9.548178923068917e-07,0.9353036284446716,38.823166961345166,0.095344836863742,0.08219015633278111,0.0750256475908387,0.173820717174172,0.08951312667031354,0.23516347619219666
55088,2.4446651650359854,0.17017975449562073,0.3657108545303345,9.537172900309088e-07,0.4529231786727905,19.255474634971744,0.0961766359533645,0.08210261667577996,0.07285875875504447,0.1794081783464096,0.09288258030296577,0.2457963759842111
60096,2.335294419026468,0.28375306725502014,0.16481716930866241,9.536848892821581e-07,0.19434261322021484,15.192544914018077,0.09991622367159214,0.08566891589539749,0.0818010741474119,0.18291521379635794,0.08372318849074906,0.27239484850283346
65104,2.4201532110455446,0.11749489605426788,0.17257195711135864,0.01418392825871706,0.18914726376533508,9.473588627000927,0.09928870223781283,0.08471774883916568,0.08115438724619567,0.19304532668611937,0.07811338760695478,0.2569066020953139
70112,2.4294678579899482,0.3919628858566284,0.3705350160598755,2.1953714167466387e-05,0.3726508319377899,0.5678078113539775,0.10024809388618487,0.08624180763574794,0.08502684360838084,0.19003725254481094,0.0808222159905643,0.24129954338955736
75120,2.4110602809814736,0.1251969039440155,0.17456625401973724,0.0007656666566617787,0.16669654846191406,-4.7427612462516775,0.10295806962195955,0.08830505991991096,0.09239934603251462,0.19019749976318215,0.08740581379544683,0.2381839588141644
80128,2.420578552002553,0.20918449759483337,0.25305724143981934,9.695143035060028e-07,0.26894187927246094,5.906367256259269,0.10227878905898677,0.08751795569746705,0.09964191429044665,0.18061773262258424,0.08733176034328266,0.2377410724841424
85136,2.423204036022071,0.2045503705739975,0.18351925909519196,0.0002464014105498791,0.23764078319072723,22.79814867129028,0.10587643274690621,0.09032736338019944,0.09606670003640455,0.19339907225031266,0.0981652728654581,0.23509726977229659
90144,2.4014659359818324,0.19488458335399628,0.3580833375453949,1.7134165318566374e-05,0.4095121920108795,12.559090391972633,0.10752003938976584,0.0908343661883237,0.08835161949301923,0.19659531075421652,0.11148688408550501,0.26098589194856914
