step,sec,loss,val_loss,ref_loss,loss_before,gap_closed,param_err_mean,err/joint,err/actuator,err/contact,err/inertial,err/comfree
5008,1.8623117450042628,0.8761073350906372,0.8987856507301331,9.539132861391408e-07,1.4412697553634644,37.63934278515526,0.09798216363872275,0.08539123618661554,0.10878271831492595,0.1517691820842483,0.08905944691936886,0.195475789383205
10016,1.8582592769816983,0.9039327502250671,0.47132614254951477,2.9676768463104963e-05,0.5732759833335876,17.784648521322953,0.09618123806935198,0.0849837320179112,0.10709257111208792,0.14217306449333797,0.08791719501182059,0.18509678782162975
15024,1.849197086005006,0.5122848749160767,0.3996956944465637,1.150034677266376e-06,0.4039710462093353,1.0583342479864244,0.09709860909282182,0.08571580465571961,0.11032485590299734,0.1396490993155281,0.09171185524750715,0.18461447409904505
20032,1.8418144319730345,0.39840561151504517,0.4291241765022278,0.0005471440381370485,0.45986172556877136,6.692047303204006,0.09661055775944798,0.08719508128833175,0.09953994836310182,0.137460216164206,0.09645722373783074,0.16835062829982012
25040,1.847595419996651,0.36100125312805176,1.132794737815857,0.000465850462205708,1.0950050354003906,-3.4525673393411234,0.09630027866166253,0.08616365558641571,0.0993173628658732,0.14013161155129145,0.09627587775449226,0.1741744332585532
30048,1.84933621797245,0.4960136115550995,0.831688404083252,1.0561910130491015e-05,0.8197644948959351,-1.4545717571474435,0.09622749607339978,0.08638864448031879,0.09799192351038802,0.14006802702820317,0.09646523437350578,0.17114715131726138
35056,1.8296668000111822,0.3343023657798767,0.6355884075164795,2.0530898837023415e-05,0.638485312461853,0.4537297951316384,0.09568733439941508,0.08642103285119272,0.09575443026409154,0.13414094033481014,0.10003381215187258,0.1701831340667908
40064,1.8418657779984642,0.5565349459648132,0.7077163457870483,9.538598533254117e-07,0.7562373280525208,6.416113257878105,0.09509591486131182,0.08563035330148223,0.09657297416498892,0.1343900084788847,0.09970531523572655,0.16500362629776383
45072,1.8335951099870726,0.5571901202201843,0.18784557282924652,9.536854577163467e-07,0.21475127339363098,12.528829107657177,0.09523535372388858,0.08738666924422182,0.08141800029517231,0.14648344886630188,0.09276449037541538,0.1669174519977294
50080,1.8260319250111934,0.907008171081543,0.2252594232559204,0.002917503472417593,0.40034303069114685,44.054444278026075,0.09617039260699768,0.0883972538074842,0.08495196927288973,0.14340731109362329,0.0939334715617688,0.16898096556425024
