step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.5268442630767822,3796.188247965263,16,3.1008990190457553,0.00015099067240953445,0.0,0.0,0.09842465323380538,-565.7258567810059,112.5,0.0,0.1875,2.0330216214060783,,,,,,,,,,,,
4000,3000,46.6674747467041,85.71280151134599,36,251.6608459991403,119.46994299069047,0.0,124818.0,0.09842465323380538,-386.7080598407322,99.0,0.4722222222222222,0.4166666666666667,1.6761631998750899,35.360015869140625,86.48319244384766,0.20629285275936127,1.49455988407135,1.5739524364471436,1.2303675413131714,0.04562938213348389,2.369476318359375,10.294718742370605,4.018348217010498,215.171875,3.694547176361084
6000,6000,96.74527955055237,62.01852977090026,54,257.1186459972523,113.10762100038119,0.0,249490.0,0.09800562670650849,-285.41123245380544,96.37037037037037,0.8518518518518519,0.5555555555555556,1.51808014843199,28.59425163269043,114.31449890136719,0.28000426292419434,1.4815748929977417,1.5680848360061646,1.2128512859344482,0.034411169588565826,2.3568801879882812,9.613214492797852,3.8416810035705566,269.2542419433594,9.472378730773926
8000,9000,146.02718544006348,54.784319617552185,77,295.90008399100043,116.62662000162527,0.0,373186.0,0.09800562670650849,-105.3415233194828,90.0625,1.328125,0.703125,1.317320367321372,5.618906021118164,136.50341796875,0.2850364148616791,1.294059157371521,1.4788579940795898,1.2723417282104492,0.07054881751537323,2.403585910797119,7.424866199493408,3.4340507984161377,270.4353942871094,-0.8089334964752197
10000,12000,195.96850848197937,51.028606981103636,101,260.83940401440486,119.98152200249024,0.0,400000.0,0.09800562670650849,27.72062858939171,89.15625,1.578125,0.78125,1.2450848622247577,18.344135284423828,121.36568450927734,0.20731215178966522,1.2904183864593506,1.455434799194336,1.1858958005905151,0.06385479867458344,2.244081974029541,9.092621803283691,2.571894645690918,265.1914978027344,1.4390109777450562
12000,15000,249.06662702560425,48.17987918857708,122,266.0680120170582,118.47652800497599,0.0,400000.0,0.09723816415641441,100.3539525270462,90.375,1.671875,0.6875,1.2470158357173204,20.739730834960938,122.39151763916016,0.30135297775268555,1.3438475131988525,1.3449695110321045,1.256815791130066,0.07238462567329407,2.3688623905181885,13.581947326660156,2.804123878479004,258.2479553222656,-0.5940723419189453
14000,18000,298.45618176460266,46.90805838641343,142,270.9404420165811,118.82296099793166,0.0,400000.0,0.09723816415641441,90.68890136480331,91.015625,1.625,0.6875,1.2235713209956884,25.809120178222656,77.90412139892578,0.24885378777980804,1.327422022819519,1.341815710067749,1.1954587697982788,0.0951441302895546,2.200629234313965,11.0542573928833,2.4601471424102783,269.8746032714844,-7.291247367858887
16000,21000,350.310672044754,45.67374412720123,162,271.1378620006144,117.73117101984099,0.0,400000.0,0.09898649805581064,100.36541599035263,95.265625,1.921875,0.609375,1.164164229761809,12.469137191772461,102.03852081298828,0.2108166515827179,1.3022631406784058,1.2813148498535156,1.1476484537124634,0.11455105990171432,2.066194772720337,15.146242141723633,2.038963556289673,271.8152160644531,-14.278234481811523
18000,24000,400.2860562801361,44.96784166621803,182,261.6073749959469,119.0990679897368,0.0,400000.0,0.09898649805581064,75.12490184605122,95.6875,1.890625,0.640625,1.1464072181843221,15.124259948730469,85.04322814941406,0.23985517024993896,1.136579155921936,1.2057971954345703,1.105156660079956,0.09224443882703781,2.025824546813965,9.238301277160645,2.4951417446136475,283.6451721191406,-7.991334915161133
20000,27000,450.40383648872375,44.40459512049631,205,266.43244401202537,120.34163900534622,0.0,400000.0,0.09898649805581064,92.69668067991734,97.296875,1.96875,0.578125,1.1242188108153641,11.059148788452148,116.80178833007812,0.2266455888748169,1.2636301517486572,1.3160245418548584,1.1766321659088135,0.05022093281149864,2.2528223991394043,11.190378189086914,2.305239200592041,270.6198425292969,2.490725040435791
22000,30000,503.8089737892151,43.66734445902192,224,280.7518719928339,118.98603299050592,1.0,400000.0,0.09980208824123636,128.1830838471651,98.421875,1.84375,0.546875,1.1692746821790934,134.40667724609375,198.8192901611328,0.19594696164131165,1.1503437757492065,1.3826791048049927,1.272238850593567,-0.029495015740394592,2.6034677028656006,11.500312805175781,2.103893518447876,321.9943542480469,28.75970458984375
24000,33000,555.838488817215,43.17801030848062,241,290.3272109979298,120.10493301204406,1.0,400000.0,0.09980208824123636,209.46826350688934,103.21875,2.109375,0.4375,1.191826619207859,136.46658325195312,212.17869567871094,0.16715547442436218,1.2389582395553589,1.4149363040924072,1.3798493146896362,-0.034183889627456665,2.828066349029541,11.701349258422852,2.0269010066986084,299.55889892578125,30.180564880371094
