step,sec,loss,val_loss,ref_loss,loss_before,gap_closed,param_err_mean,err/joint,err/actuator,err/contact,err/inertial,err/comfree
5008,2.219434047001414,0.5509516000747681,0.6066882610321045,9.548932666803012e-07,1.0785369873046875,43.748999763838256,0.09579046910582709,0.08459565868635895,0.10088000267848088,0.15276647872616664,0.08433859287113167,0.17904737991534564
10016,2.193262382003013,0.5936423540115356,0.5787254571914673,0.00022464680660050362,0.6711587309837341,13.776804006854345,0.093809462240818,0.08257880742131403,0.0884271442229407,0.15564250275039995,0.08363805905971942,0.19897301774018128
15024,2.224877052998636,0.3701792359352112,0.44690024852752686,1.217811359310872e-06,0.45917558670043945,2.673350039683481,0.09720434302867911,0.08595090702363055,0.10101127248365308,0.16505667071781524,0.07309944449799302,0.1868906380100309
20032,2.1818049320136197,0.4503518342971802,0.31429523229599,2.2633763364865445e-05,0.3901805281639099,19.449893737127447,0.09748384605767597,0.0871998860026504,0.0883552176468388,0.17490991892767263,0.0701408851339227,0.1918510287479096
25040,2.2254833479819354,0.1885058879852295,0.21210505068302155,9.538463245917228e-07,0.26671916246414185,20.476334204605173,0.1003643489975763,0.08748698589142827,0.08947971524082396,0.1783057922572276,0.09099367446336404,0.20827657076599518
30048,2.1957551859959494,0.48464006185531616,0.5970884561538696,9.538409813103499e-07,0.6904802918434143,13.52565247784657,0.09795642427052756,0.08573297245885021,0.08365935820966328,0.18031267384542143,0.08350785702543917,0.20360636021737766
35056,2.1776089939812664,0.3604564666748047,0.47331613302230835,9.539076017972548e-07,0.6275763511657715,24.580348244595722,0.09777102161592569,0.08610774906647618,0.07852367121120908,0.17492694577373216,0.08907491310479548,0.2107215554026481
40064,2.189789148978889,0.20731717348098755,0.21834678947925568,9.536774996377062e-07,0.27115753293037415,19.476106239660282,0.0965658679376929,0.08481734386566148,0.07924996519682799,0.18169756439410525,0.08309332635186455,0.19025074378994888
45072,2.2034237799816765,0.2452649474143982,0.20690828561782837,5.039734787715133e-06,0.23317982256412506,11.266885993210106,0.09439233101466178,0.08272278049920671,0.07523216362201905,0.18588724145002924,0.0816705771635948,0.16903528798556877
50080,2.1791967099998146,0.4061155319213867,0.21857303380966187,0.000381181831471622,0.3622159957885742,39.69849125572035,0.09610693997609415,0.0824328202238415,0.08377883532364946,0.1866785443330486,0.08486255357466754,0.1903307765948748
55088,2.1711137919919565,0.14898714423179626,0.09648643434047699,9.53675908021978e-07,0.13227517902851105,27.05647649240213,0.09436222929757239,0.08352777361259384,0.07760508207270919,0.17914588300107284,0.07637606344668992,0.17863346422690646
60096,2.1617082390002906,0.18109898269176483,0.15397977828979492,1.2239322586538037e-06,0.15910515189170837,3.221399790468868,0.09518833212405746,0.08368865959413863,0.08099315895966783,0.18023364704532793,0.07827955242553813,0.1810289023707795
65104,2.152319714979967,0.18761608004570007,0.35526275634765625,9.536909146845574e-07,0.37845587730407715,6.128370780592021,0.09738144987634445,0.08762464722175493,0.08003579656593061,0.17792416407397746,0.08568010821430339,0.15413185212255615
70112,2.2017127069993876,0.2276453673839569,0.19985882937908173,9.536915968055837e-07,0.20858626067638397,4.184106456711626,0.09915577345075849,0.08749175584857521,0.0940206495813466,0.18371759556714892,0.08943113255789341,0.13284023665203343
75120,2.164066017983714,0.37799495458602905,0.2455826997756958,2.7156397663929965e-06,0.2621079981327057,6.304832241393324,0.10099187819645584,0.08904641810704163,0.09620135970135307,0.19013564533002247,0.09525456131714533,0.11205375999325617
80128,2.144186976016499,0.13722741603851318,0.18091389536857605,9.536917104924214e-07,0.2188865691423416,17.34818146710521,0.10155082314427881,0.09117196518228184,0.09383623678628068,0.18237816988561042,0.09904411420108228,0.1061261728991274
85136,2.141005187004339,0.12306211143732071,0.1212145984172821,8.031618199311197e-05,0.1981470286846161,38.841675764328734,0.09961535244541427,0.08960285334898137,0.08840241747696576,0.17170313331028186,0.10599656055420814,0.11331621328017949
90144,2.1180227040022146,0.10142375528812408,0.12258389592170715,9.53682047111215e-07,0.13420739769935608,8.660911823391887,0.09832587163330979,0.08638357673008422,0.08814716970541445,0.17338831833181315,0.10937500728642928,0.12978978661818535
95152,2.1143370599893387,0.15285873413085938,0.12029290199279785,9.536806828691624e-07,0.17770838737487793,32.30899472718883,0.09858633203241626,0.08704556489829422,0.08831379822043928,0.18063065259370806,0.1063400616546219,0.1062385676681149
100160,2.126746264984831,0.09850765019655228,0.10081857442855835,9.57761812969693e-07,0.11462225019931793,12.042854758670401,0.09763573077529626,0.08506618433918445,0.09159730463925536,0.1796908375745023,0.10705440387116467,0.10800965670131735
105168,2.129696377000073,0.11233890056610107,0.1752120852470398,9.537018286209786e-07,0.1944122314453125,9.876045474895934,0.09888608220112712,0.08561316192114622,0.08699767956330698,0.18263946196763187,0.12007219282367355,0.10829461842154253
110176,2.1216954400006216,0.5475371479988098,0.17339780926704407,4.8408778638986405e-06,0.1784447282552719,2.828358088768233,0.09944047586296348,0.08654006424541637,0.08640344430377735,0.17977810381539366,0.12033010164567252,0.11734790573920517
