step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.5239970684051514,3816.815246862435,16,3.166032984154299,0.000200001522898674,0.0,0.0,0.09842465323380538,-550.9078159332275,111.4375,0.0,0.25,2.0318591445684433,,,,,,,,,,,,
4000,3000,46.96601462364197,85.16796734944722,36,376.1013119947165,119.4166729983408,0.0,124516.0,0.09842465323380538,-390.0312783983019,95.80555555555556,0.3333333333333333,0.5555555555555556,1.748471212055948,44.06475830078125,108.77320861816406,0.2515043318271637,1.6150848865509033,1.4687104225158691,1.002356767654419,0.0679771676659584,7.124644756317139,9.106596946716309,7.717768669128418,179.2235107421875,-3.7765495777130127
6000,6000,93.44528484344482,64.20869720769971,59,230.58788900380023,120.079242013162,0.0,248452.0,0.09842465323380538,-288.5062999078783,91.83050847457628,0.6949152542372882,0.6271186440677966,1.56597355462737,48.0370979309082,160.45310974121094,0.2666791081428528,1.7313450574874878,1.4665298461914062,0.6831206679344177,0.02485077455639839,5.019308090209961,11.890069961547852,5.220979690551758,238.80459594726562,6.131315231323242
8000,9000,140.06085062026978,57.11803094563121,84,241.54127997462638,122.20374000025913,0.0,371090.0,0.09842465323380538,-162.7894420325756,82.640625,1.109375,0.828125,1.314010507427156,46.3021354675293,164.43069458007812,0.2798948585987091,1.5815746784210205,1.3384790420532227,0.6384747624397278,0.07258999347686768,4.314871788024902,10.49236011505127,3.663874864578247,272.53045654296875,-7.489475727081299
10000,12000,186.16999316215515,53.7143490749873,109,243.37552199722268,120.52057299297303,0.0,400000.0,0.09842465323380538,-117.86680653691292,79.34375,1.359375,0.90625,1.2563898991793394,42.03825378417969,138.2229461669922,0.20430263876914978,1.3947514295578003,1.387284755706787,0.5443063974380493,0.004826538730412722,4.113533973693848,9.948941230773926,3.6821799278259277,271.0039978027344,12.776626586914062
12000,15000,233.05162644386292,51.490736980076555,137,249.6646929939743,119.91285299882293,0.0,400000.0,0.09842465323380538,-102.66344469040632,80.34375,1.359375,0.90625,1.2360856225714087,51.85833740234375,110.18124389648438,0.24820172786712646,1.5916624069213867,1.410904049873352,0.6242327690124512,0.012272018939256668,4.666201114654541,13.176358222961426,3.9852616786956787,273.2994079589844,9.98661994934082
14000,18000,280.0204088687897,49.99635582476432,163,244.74808500963263,120.71723700501025,0.0,400000.0,0.09842465323380538,-45.50083353370428,80.03125,1.484375,0.859375,1.1804947834461927,58.873390197753906,175.12176513671875,0.16063040494918823,1.448193073272705,1.4038629531860352,0.46701666712760925,0.0033346060663461685,3.5355758666992188,16.917993545532227,3.0974819660186768,276.07012939453125,14.193004608154297
16000,21000,326.9855058193207,48.93183249792414,188,387.7330539980903,121.27639399841428,0.0,400000.0,0.09842465323380538,-65.27665092796087,75.234375,1.3125,0.890625,1.238383092917502,61.25188446044922,146.78701782226562,0.24857711791992188,1.4304403066635132,1.3585728406906128,0.579232931137085,-0.007420743349939585,4.473234176635742,11.270054817199707,3.624346971511841,271.02716064453125,15.32725715637207
18000,24000,372.7597758769989,48.28847199956343,213,236.150907992851,120.21416099742055,0.0,400000.0,0.09842465323380538,-80.31803521513939,79.046875,1.375,0.859375,1.208947150502354,33.01601028442383,132.84478759765625,0.2712745666503906,1.3739811182022095,1.3785669803619385,0.5512070655822754,0.02669522911310196,3.9994029998779297,12.192892074584961,3.0551843643188477,275.2991027832031,4.043529987335205
20000,27000,419.20985317230225,47.70880228280242,237,236.52428400237113,120.7909109944012,0.0,400000.0,0.09842465323380538,-86.78595769405365,78.953125,1.375,0.859375,1.2566361711360514,13.126791000366211,119.78575897216797,0.18395373225212097,1.572800636291504,1.3022619485855103,0.6607767939567566,0.026722148060798645,4.834667205810547,14.06067943572998,3.3703691959381104,268.7311096191406,4.4616193771362305
22000,30000,466.01175832748413,47.20910922711046,265,241.0440610256046,114.42669399548322,0.0,400000.0,0.09842465323380538,-39.99041724205017,75.984375,1.546875,0.859375,1.2151930634863675,33.43762969970703,91.84236145019531,0.23713594675064087,1.3756879568099976,1.2964454889297485,0.42087462544441223,-0.006458010524511337,3.2584116458892822,12.088007926940918,2.8811535835266113,266.666015625,14.920042037963867
