step,sec,loss,val_loss,ref_loss,loss_before,gap_closed,param_err_mean,err/joint,err/actuator,err/contact,err/inertial,err/comfree
5008,2.212699169991538,0.3992152512073517,0.26990801095962524,0.00028273987118154764,0.8924729824066162,69.7793970126573,0.09891139124313399,0.08768140748264001,0.1007534371092787,0.1550355895528123,0.089254031429657,0.19360020338696726
10016,2.3044242189789657,0.49305692315101624,0.23557919263839722,9.538341601000866e-07,0.3359663486480713,29.88020717588423,0.09902153954300866,0.08848007439022187,0.0880797790754658,0.15478248915505619,0.09598199562668867,0.20973905318685607
15024,2.18332236999413,0.5094324350357056,0.5952680110931396,0.0009629843989387155,0.6097731590270996,2.3825403284068267,0.10187526680926602,0.08842912625001771,0.09669563458186065,0.17685595777357904,0.09701560015184206,0.19744775073802318
20032,1.99950277901371,0.22212013602256775,0.21973806619644165,9.536892093819915e-07,0.206390842795372,-6.466994802349116,0.10332900478397876,0.09120841423416591,0.09288182731558345,0.1739684034780766,0.0963724134780296,0.20964376634157317
25040,1.9927965519891586,0.40355581045150757,0.16268618404865265,1.0393107459094608e-06,0.168321892619133,3.3481939163859566,0.10118184438542142,0.08758618889532309,0.0818438165158124,0.1775536919051385,0.10872759171055864,0.21489097933179663
30048,2.1801954800030217,0.27351346611976624,0.21146893501281738,9.53754806687357e-07,0.21488888561725616,1.5915042668044774,0.10017378075547871,0.08715915539544493,0.08090861904177457,0.1750557622689662,0.10535475227946957,0.21195558638192813
35056,1.9933345199970063,0.1759718656539917,0.2169400453567505,9.53692733673961e-07,0.24372684955596924,10.990544974445353,0.09793736474994341,0.08583451159046139,0.07598393077488198,0.166707412451526,0.09683059921464417,0.23884470612811642
40064,1.9836612830113154,1.2149810791015625,0.30310148000717163,9.537010328131146e-07,0.43892696499824524,30.94496145025712,0.09488646656295864,0.08495642173249025,0.06348948824079392,0.16579958522605587,0.09157333623839398,0.22053893143571224
45072,1.9861598649877124,0.1887132078409195,0.17498520016670227,1.1480639159344719e-06,0.2957684099674225,40.83724784933279,0.09391171540146548,0.08725746104831762,0.054021108602353894,0.17244556710746423,0.07493164747047835,0.19524796989542517
50080,1.9760592069942504,0.21202746033668518,0.21361109614372253,2.0197830963297747e-05,0.2273569256067276,6.046462266564949,0.09419370293120664,0.08526510553899917,0.05748402276526862,0.18110014824616374,0.07766684353406691,0.20072678059700721
55088,2.001481938001234,0.11044482886791229,0.12948718667030334,9.536890956951538e-07,0.13074210286140442,0.9598479124940018,0.0939137435761993,0.0854972806785062,0.05688610914480359,0.1801592066308023,0.07450747350244108,0.2003790803765817
