step,sec,loss,val_loss,ref_loss,loss_before,gap_closed,param_err_mean,err/joint,err/actuator,err/contact,err/inertial,err/comfree
5008,2.4590079259942286,0.4713549315929413,0.20001697540283203,9.536885272609652e-07,0.7459909915924072,73.18784279260353,0.09583890870166348,0.08456763020876396,0.1024026836940537,0.14846375440067458,0.08656363088848733,0.18373336605468132
10016,2.4532144849654287,0.5562400221824646,0.3157182037830353,0.00019537509069778025,0.35694417357444763,11.556022043138071,0.09607062587293037,0.0841045717083594,0.08448270050714932,0.15200743653912493,0.09660334418720784,0.23223063501124358
15024,2.420571709983051,0.8298447132110596,0.3037383556365967,0.0009523367043584585,0.33317336440086365,8.860067939816505,0.09810919148624629,0.083859326039318,0.0907729663859113,0.1607795486375552,0.11003612344057391,0.21432381672130124
20032,2.412387339049019,0.310106486082077,0.125472754240036,9.537002370052505e-07,0.13893640041351318,9.690576805257168,0.10017786954381803,0.08732110599361942,0.08226476235379088,0.16443792371580285,0.11266535496452303,0.2180199776446316
25040,2.4257785429945216,0.19690653681755066,0.47769272327423096,9.540796099827276e-07,0.48911452293395996,2.3352040072170293,0.10120274755992074,0.0852878641389217,0.0865302888966587,0.1646929366383644,0.1257755859303972,0.24591560743096438
30048,2.458732272963971,0.7897400856018066,0.8085659742355347,1.7294244116783375e-06,0.9172260165214539,11.846616341769739,0.0994996237022201,0.08382716854526372,0.08345628417419919,0.16567135219411316,0.12082264041420789,0.24424180572366738
35056,2.4245838100323454,0.8168299794197083,0.3384336233139038,9.536947800370399e-07,0.44158244132995605,23.358954327648654,0.09925637950020787,0.08380896377832552,0.08660022628651201,0.16607158188955795,0.11456158204363222,0.240850153687169
40064,2.431041347037535,0.559563159942627,0.16975584626197815,9.53675908021978e-07,0.17514312267303467,3.0759447835460465,0.09677270542757078,0.08094940549457953,0.08713024019437116,0.16556710320563908,0.11283788211290835,0.22612584247290654
45072,2.4139485539635643,0.14438672363758087,0.12615597248077393,9.536787501929211e-07,0.14786399900913239,14.68117099837521,0.09265525242380161,0.07956235719367591,0.07313945610693329,0.16231532649690505,0.10098566810813368,0.21614641690543332
50080,2.4386386769474484,0.4332762062549591,0.1314619779586792,0.00025206542341038585,0.1960165947675705,32.97564529445591,0.09419198139334967,0.08058443288637841,0.07812328670589735,0.16658607731710176,0.10279529618206786,0.20585864421118236
55088,2.439691709994804,0.19414272904396057,0.19522075355052948,0.001390376826748252,0.24503737688064575,20.44622889635262,0.09513005785536276,0.08487033210517277,0.06824414396170138,0.15624371819126348,0.10031221104649446,0.21946286068552034
