step,sec,loss,val_loss,ref_loss,loss_before,gap_closed,param_err_mean,err/joint,err/actuator,err/contact,err/inertial,err/comfree
5008,2.253495924989693,0.6765499711036682,0.854142427444458,2.0859388314420357e-05,1.520585060119629,43.828641523629564,0.09592284531056862,0.0849526288009033,0.09682470314956508,0.14862187532631438,0.08644266309273707,0.19959455178493427
10016,2.2376854059984908,0.627604603767395,0.6012728810310364,6.920788291608915e-05,0.7087263464927673,15.16296945410284,0.09583219706449976,0.08462635916422412,0.09372629846300719,0.15019463127633031,0.08927160023859614,0.20260917181338986
15024,2.2053034270065837,0.5092597007751465,0.4713931083679199,0.0023577455431222916,0.5423747301101685,13.144331339718402,0.09713803543310995,0.08685777537909463,0.09386960747738562,0.14491005366706972,0.09459805901948408,0.19735585397439293
20032,2.1981432320026215,0.9820104241371155,0.27032598853111267,0.0006951309624128044,0.3915635347366333,31.017484410316204,0.09753707686051155,0.08700230057281629,0.09464957395879176,0.14510318217870682,0.09729466125933534,0.19616759756192248
25040,2.2340014619985595,0.7122348546981812,0.276388019323349,9.536961442790926e-07,0.28327980637550354,2.4328632324543094,0.10048664348397542,0.08868951988767416,0.10120862547599424,0.14226300974745235,0.11156503216838233,0.20127723385173957
30048,2.205137069016928,0.4606103301048279,1.0524073839187622,3.1696919904788956e-05,1.0882225036621094,3.29125365895798,0.1003672036388631,0.08904751095363055,0.09964491540951692,0.142676586825886,0.1108838655999242,0.19529615396406497
35056,2.2021690080000553,0.6210317611694336,0.29516831040382385,9.537908454149147e-07,0.6611337661743164,55.354302330138296,0.09937714808365641,0.08670402847848485,0.10354622747481237,0.1429742666096676,0.11295644106646661,0.1935279072536806
40064,2.1942490189976525,0.5373072624206543,0.2561419904232025,0.0001363973569823429,0.425373911857605,39.79703475436306,0.10145054808686076,0.08886862178213634,0.10487121219737378,0.1493311899175778,0.11927203551328486,0.16868741427141282
45072,2.166311074019177,0.3409508466720581,0.5584061145782471,9.788145689526573e-07,0.7397346496582031,24.512678309364873,0.10289491198678785,0.08996565593754591,0.10466764503266138,0.15686476288683773,0.12302179351330107,0.15683100225538688
50080,2.164617934002308,0.8836043477058411,0.2867898643016815,4.467777216632385e-06,0.6587153673171997,56.46263076491612,0.10442182459752801,0.0909061191476651,0.11030336431810876,0.15772637490056038,0.1239042647873053,0.16025934988197016
55088,2.18414323500474,0.3931295871734619,0.3078981339931488,9.537059213471366e-07,0.43363481760025024,28.996048066426354,0.10528792788114585,0.09348246188121913,0.10552265821106169,0.15522545646063493,0.12607392682018462,0.15054084371439508
60096,2.1783214220195077,0.44896867871284485,0.2653515338897705,0.004308941308408976,0.3066926598548889,13.671743360998382,0.10366208469794999,0.09192433017406328,0.10920928606526961,0.15766245750966507,0.10323696932946382,0.17545342906640815
65104,2.168973660998745,0.21296575665473938,0.20882821083068848,9.545289003654034e-07,0.21717596054077148,3.84378933072377,0.10196185473947916,0.08991448832036268,0.10872285888190122,0.15690629465065564,0.10158946219121007,0.17286627018427686
70112,2.149877583986381,0.1605614721775055,0.3870396018028259,9.551590665068943e-07,0.488795667886734,20.817750976901745,0.0991490769059452,0.0881081286238571,0.10515659527582957,0.14375308605916318,0.10513442415675006,0.16603168840784377
75120,2.176689811021788,0.1895904690027237,0.21357332170009613,4.2986821426893584e-06,0.25109541416168213,14.943616141067144,0.099183307538925,0.0887367517505609,0.10719010171847997,0.14085153046804041,0.1020913534408756,0.16331055178368847
80128,2.1504912720120046,1.093029499053955,0.1838369518518448,0.00019085983512923121,0.21901392936706543,16.075534261750555,0.09923573074335369,0.09100881064370801,0.1028300678931225,0.13025211411884882,0.10541063573373155,0.1552224077504083
85136,2.199999721982749,0.1363442987203598,0.6978587508201599,9.54437155087362e-07,0.8704041242599487,19.82361501221526,0.1018517810100068,0.0946448404743861,0.10526966384877254,0.12137301184538297,0.11066082459792571,0.16639538382226732
